dataset,model,metric,pytorch_mean,keras_mean,delta,t_statistic,p_value,cohens_d,cliffs_delta
plantvillage,resnet50,test_accuracy,0.997667,0.99466,0.003008,6.7466,0.021272,3.8952,1.0
plantvillage,resnet50,test_macro_f1,0.996407,0.993109,0.003298,9.5799,0.010721,5.531,1.0
plantvillage,resnet50,images_per_sec_avg,124.866667,97.933333,26.933333,1.4259,0.289983,0.8233,1.0
plantvillage,vgg16,test_accuracy,0.997575,0.993002,0.004573,5.6196,0.030236,3.2445,1.0
plantvillage,vgg16,test_macro_f1,0.996628,0.990687,0.005941,5.4312,0.032269,3.1357,1.0
plantvillage,vgg16,images_per_sec_avg,76.333333,72.833333,3.5,11.4564,0.007533,6.6144,1.0
plantvillage,mobilenetv2,test_accuracy,0.997422,0.571832,0.42559,7.0809,0.019367,4.0881,1.0
plantvillage,mobilenetv2,test_macro_f1,0.996275,0.468795,0.52748,8.7719,0.012748,5.0644,1.0
plantvillage,mobilenetv2,images_per_sec_avg,179.266667,210.3,-31.033333,-5.7252,0.029179,-3.3055,-0.5556
cifar10,resnet50,test_accuracy,0.934667,0.958528,-0.023861,-1.4816,0.276638,-0.8554,-0.3333
cifar10,resnet50,test_macro_f1,0.934474,0.958446,-0.023972,-1.4837,0.276148,-0.8566,-0.3333
cifar10,resnet50,images_per_sec_avg,114.366667,214.0,-99.633333,-8.8689,0.012476,-5.1204,-1.0
cifar10,vgg16,test_accuracy,0.957333,0.937944,0.019389,10.1955,0.009484,5.8864,1.0
cifar10,vgg16,test_macro_f1,0.957243,0.937729,0.019514,10.1609,0.009547,5.8664,1.0
cifar10,vgg16,images_per_sec_avg,65.566667,137.1,-71.533333,-13.8305,0.005187,-7.985,-1.0
cifar10,mobilenetv2,test_accuracy,0.953917,0.396139,0.557778,10.83,0.008418,6.2527,1.0
cifar10,mobilenetv2,test_macro_f1,0.953834,0.375687,0.578147,9.6429,0.010584,5.5673,1.0
cifar10,mobilenetv2,images_per_sec_avg,160.466667,369.033333,-208.566667,-25.5913,0.001523,-14.7751,-1.0
