framework,dataset,model,fold,val_acc_best,val_f1_best,test_accuracy,test_macro_f1,epoch_best,epochs_trained,time_per_epoch_avg,total_training_time,images_per_sec_avg
keras,cifar10,mobilenetv2,0,0.4795,0.4772513442874795,0.4776666666666667,0.4749520387331937,1,8,86.89,695.08,368.3
keras,cifar10,mobilenetv2,1,0.4081875,0.3819385510574109,0.4086666666666667,0.3830817739471999,2,9,86.53,778.8,369.8
keras,cifar10,mobilenetv2,2,0.3011875,0.2658667780353844,0.3020833333333333,0.2690270393790213,1,8,86.72,693.78,369.0
keras,cifar10,resnet20,0,0.8384832303353933,0.8400576602739702,0.8402,0.8412611625834205,26,38,111.96,4254.29,285.8
keras,cifar10,resnet20,1,0.8565428691426171,0.8578170556348912,0.8464,0.8477443817756093,58,59,113.06,6670.43,283.0
keras,cifar10,resnet50,0,0.957875,0.9578110272909808,0.9595833333333333,0.9595045138124844,27,30,148.76,4462.73,215.1
keras,cifar10,resnet50,1,0.9604375,0.9603777817298076,0.9575833333333333,0.9574711023294235,30,30,148.2,4445.86,215.9
keras,cifar10,resnet50,2,0.957,0.9569218967213364,0.9584166666666667,0.9583611590561315,27,30,151.64,4549.35,211.0
keras,cifar10,vgg16,0,0.9386875,0.9384784272002932,0.9354166666666667,0.9351681308072972,26,30,233.49,7004.58,137.1
keras,cifar10,vgg16,1,0.9414375,0.9412481199419592,0.9386666666666666,0.9384166776057865,29,30,234.42,7032.64,136.5
keras,cifar10,vgg16,2,0.9395625,0.9394404765930618,0.93975,0.939603118804488,28,30,232.43,6972.8,137.7
keras,plantvillage,mobilenetv2,0,0.4522165446761497,0.3547936604351377,0.4555749930945585,0.35898725463194925,1,8,147.73,1181.85,195.8
keras,plantvillage,mobilenetv2,1,0.6576893860921207,0.5719561891005859,0.6581346100727373,0.567087185241147,2,9,146.48,1318.29,197.5
keras,plantvillage,mobilenetv2,2,0.603480422622747,0.4840807273745663,0.6017862075315349,0.48031137370554566,3,8,121.74,973.95,237.6
keras,plantvillage,resnet50,0,0.9959950283110068,0.9950702373650424,0.9945677193628579,0.9931591511386224,35,43,473.46,18938.4,61.1
keras,plantvillage,resnet50,1,0.9953041916994684,0.9936066313777332,0.9949360095755455,0.99316149447965,28,30,249.34,7480.08,116.0
keras,plantvillage,resnet50,2,0.9961328637525032,0.994284556308218,0.994475646809686,0.9930059049854737,29,30,247.97,7439.12,116.7
keras,plantvillage,vgg16,0,0.9935782350504074,0.9926109428932616,0.9934628487247952,0.9917998357936595,28,29,397.37,11523.72,72.8
keras,plantvillage,vgg16,1,0.9936468475933984,0.9922070100566888,0.993646993831139,0.9911164831253817,21,27,397.33,10727.84,72.8
keras,plantvillage,vgg16,2,0.992680063531524,0.9911382544238828,0.9918976153208728,0.9891446012234798,19,23,396.62,9122.18,72.9
pytorch,cifar10,mobilenetv2,0,0.9570625,0.9570092423778028,0.9540833333333333,0.9539871543823919,27,30,212.35,6370.61,150.7
pytorch,cifar10,mobilenetv2,1,0.9581875,0.9581315544232998,0.9524166666666667,0.9523328187999361,28,30,207.73,6232.0,154.0
pytorch,cifar10,mobilenetv2,2,0.9545,0.9544850843539808,0.95525,0.9551828840889588,30,30,181.11,5433.26,176.7
pytorch,cifar10,resnet50,0,0.9196875,0.919799867524902,0.91875,0.9188140123666795,1,8,343.43,2747.42,93.2
pytorch,cifar10,resnet50,1,0.9198125,0.9193617849525244,0.9185,0.9179119161005227,1,8,256.35,2050.77,124.8
pytorch,cifar10,resnet50,2,0.9669375,0.9669052403815634,0.96675,0.9666963437716098,29,30,255.75,7672.61,125.1
pytorch,cifar10,vgg16,0,0.95825,0.9582170704037744,0.9581666666666667,0.9580505640082071,30,30,423.78,12713.55,75.5
pytorch,cifar10,vgg16,1,0.9609375,0.9608801235347876,0.9579166666666666,0.9578433367087376,29,30,511.82,15354.73,62.5
pytorch,cifar10,vgg16,2,0.959125,0.9590600665820456,0.9559166666666666,0.9558346336088398,27,30,545.17,16355.1,58.7
pytorch,plantvillage,mobilenetv2,0,0.9977213092114348,0.9963687937308384,0.9969616057453273,0.9958945966407696,27,30,165.14,4954.28,175.2
pytorch,plantvillage,mobilenetv2,1,0.9982735998895104,0.9972911863522812,0.9978823312770463,0.9966418192453858,23,27,176.56,4767.0,163.8
pytorch,plantvillage,mobilenetv2,2,0.9984807679027692,0.997668463578394,0.9974219685111868,0.9962897086017433,26,29,145.51,4219.84,198.8
pytorch,plantvillage,resnet50,0,0.9982046678635548,0.9971242293301272,0.9979744038302182,0.9966236580741693,29,30,229.9,6896.97,125.8
pytorch,plantvillage,resnet50,1,0.9978592638629928,0.9969351461172294,0.9970536782984992,0.9957974818855828,18,30,231.74,6952.3,124.8
pytorch,plantvillage,resnet50,2,0.9982735998895104,0.9969090828277568,0.9979744038302182,0.996798926194164,28,30,233.37,7001.06,124.0
pytorch,plantvillage,vgg16,0,0.9982046678635548,0.9968060731938012,0.9969616057453273,0.9962732522145523,20,30,381.06,11431.87,75.9
pytorch,plantvillage,vgg16,1,0.9973758718320558,0.9958270639976924,0.9976981861707025,0.9963864809524132,28,30,379.99,11399.79,76.1
pytorch,plantvillage,vgg16,2,0.99834265589393,0.996791171709872,0.9980664763833901,0.9972246757387506,27,30,375.74,11272.22,77.0
